Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Contender Park City,Contender Salt Lake City,Contender Warehouse
time-alpe-dhuez-21-aktiv-complete-bike-builder,Time Alpe D'Huez 21 AKTIV Complete Bike Builder,Color,Black Gloss,Size,XL,,,210000130792,,,0,1,0
time-alpe-dhuez-21-aktiv-complete-bike-builder,Time Alpe D'Huez 21 AKTIV Complete Bike Builder,Color,White Matte,Size,M,,,210000130791,,,0,1,0
time-alpe-dhuez-21-aktiv-complete-bike-builder,Time Alpe D'Huez 21 AKTIV Complete Bike Builder,Color,Black/White/Grey,Size,XXS,,,210000117583,,,0,0,0
time-alpe-dhuez-21-aktiv-complete-bike-builder,Time Alpe D'Huez 21 AKTIV Complete Bike Builder,Color,Black/White/Grey,Size,XS,,,210000117584,,,0,0,0
time-alpe-dhuez-21-aktiv-complete-bike-builder,Time Alpe D'Huez 21 AKTIV Complete Bike Builder,Color,Black/White/Grey,Size,XL,,,210000117585,,,0,0,0
time-alpe-dhuez-21-aktiv-complete-bike-builder,Time Alpe D'Huez 21 AKTIV Complete Bike Builder,Color,Black/White/Grey,Size,SM,,,210000117586,,,0,0,0
time-alpe-dhuez-21-aktiv-complete-bike-builder,Time Alpe D'Huez 21 AKTIV Complete Bike Builder,Color,Red/White/Black,Size,XXS,,,210000117587,,,0,1,0
time-alpe-dhuez-21-aktiv-complete-bike-builder,Time Alpe D'Huez 21 AKTIV Complete Bike Builder,Color,Red/White/Black,Size,XS,,,210000117588,,,0,0,0
time-alpe-dhuez-21-aktiv-complete-bike-builder,Time Alpe D'Huez 21 AKTIV Complete Bike Builder,Color,Red/White/Black,Size,XL,,,210000117589,,,0,0,0
time-alpe-dhuez-21-aktiv-complete-bike-builder,Time Alpe D'Huez 21 AKTIV Complete Bike Builder,Color,Red/White/Black,Size,LG,,,210000117592,,,0,0,0
time-alpe-dhuez-21-aktiv-complete-bike-builder,Time Alpe D'Huez 21 AKTIV Complete Bike Builder,Color,Red/White/Black,Size,MD,,,210000117591,,,0,0,0
time-alpe-dhuez-21-aktiv-complete-bike-builder,Time Alpe D'Huez 21 AKTIV Complete Bike Builder,Color,Red/White/Black,Size,SM,,,210000117590,,,0,0,0
time-alpe-dhuez-21-aktiv-complete-bike-builder,Time Alpe D'Huez 21 AKTIV Complete Bike Builder,Color,Black/White/Grey,Size,LG,,,210000117670,,,0,0,0
time-alpe-dhuez-21-aktiv-complete-bike-builder,Time Alpe D'Huez 21 AKTIV Complete Bike Builder,Color,Black/White/Grey,Size,MD,,,210000117669,,,0,0,0
time-alpe-dhuez-01-aktiv-rim-brake-complete-bike-builder,Time Alpe D'Huez 01 Aktiv Rim Brake Complete Bike Builder,Color,Gloss Grey,Size,XXS,,,210000130854,,,0,1,0
time-alpe-dhuez-01-aktiv-rim-brake-complete-bike-builder,Time Alpe D'Huez 01 Aktiv Rim Brake Complete Bike Builder,Color,Gloss Grey,Size,XS,,,210000130846,,,0,0,0
time-alpe-dhuez-01-aktiv-rim-brake-complete-bike-builder,Time Alpe D'Huez 01 Aktiv Rim Brake Complete Bike Builder,Color,Matte Blue,Size,SM,,,210000125047,,,0,0,0
time-alpe-dhuez-01-aktiv-rim-brake-complete-bike-builder,Time Alpe D'Huez 01 Aktiv Rim Brake Complete Bike Builder,Color,Gloss Red,Size,XL,,,210000125006,,,0,0,1
time-alpe-dhuez-01-aktiv-rim-brake-complete-bike-builder,Time Alpe D'Huez 01 Aktiv Rim Brake Complete Bike Builder,Color,Gloss Red,Size,MD,,,210000125005,,,0,1,0
time-alpe-dhuez-01-aktiv-rim-brake-complete-bike-builder,Time Alpe D'Huez 01 Aktiv Rim Brake Complete Bike Builder,Color,Gloss Grey,Size,XL,,,210000125004,,,0,0,0
time-alpe-dhuez-01-aktiv-rim-brake-complete-bike-builder,Time Alpe D'Huez 01 Aktiv Rim Brake Complete Bike Builder,Color,Gloss Grey,Size,LG,,,210000125003,,,0,1,1
time-alpe-dhuez-01-aktiv-rim-brake-complete-bike-builder,Time Alpe D'Huez 01 Aktiv Rim Brake Complete Bike Builder,Color,Gloss Grey,Size,MD,,,210000125002,,,0,0,2
