Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Contender Park City,Contender Salt Lake City,Contender Warehouse
time-alpe-dhuez-x,TIME Alpe D'Huez X (ADHX),Color,Cobalt,Size,XL,,,210000134582,,,0,0,0
time-alpe-dhuez-x,TIME Alpe D'Huez X (ADHX),Color,Cobalt,Size,L,,,210000134581,,,0,0,0
time-alpe-dhuez-x,TIME Alpe D'Huez X (ADHX),Color,Cobalt,Size,M,,,210000134580,,,0,0,0
time-alpe-dhuez-x,TIME Alpe D'Huez X (ADHX),Color,Cobalt,Size,S,,,210000134579,,,0,0,0
time-alpe-dhuez-x,TIME Alpe D'Huez X (ADHX),Color,Amber,Size,XL,,,210000134597,,,0,0,0
time-alpe-dhuez-x,TIME Alpe D'Huez X (ADHX),Color,Amber,Size,L,,,210000134590,,,0,0,0
time-alpe-dhuez-x,TIME Alpe D'Huez X (ADHX),Color,Amber,Size,M,,,210000134589,,,0,1,0
time-alpe-dhuez-x,TIME Alpe D'Huez X (ADHX),Color,Amber,Size,S,,,210000134595,,,0,1,0
time-alpe-dhuez-x,TIME Alpe D'Huez X (ADHX),Color,Carbon,Size,XL,,,210000134591,,,0,0,0
time-alpe-dhuez-x,TIME Alpe D'Huez X (ADHX),Color,Carbon,Size,L,,,210000134592,,,0,0,0
time-alpe-dhuez-x,TIME Alpe D'Huez X (ADHX),Color,Carbon,Size,M,,,210000134593,,,0,0,0
time-alpe-dhuez-x,TIME Alpe D'Huez X (ADHX),Color,Carbon,Size,S,,,210000134594,,,0,0,0
time-alpe-dhuez-x,TIME Alpe D'Huez X (ADHX),Color,Forest,Size,XL,,,210000134587,,,0,0,0
time-alpe-dhuez-x,TIME Alpe D'Huez X (ADHX),Color,Forest,Size,L,,,210000134586,,,0,0,0
time-alpe-dhuez-x,TIME Alpe D'Huez X (ADHX),Color,Forest,Size,M,,,210000134585,,,0,1,0
time-alpe-dhuez-x,TIME Alpe D'Huez X (ADHX),Color,Forest,Size,S,,,210000134584,,,0,1,0
time-alpe-dhuez-x,TIME Alpe D'Huez X (ADHX),Color,Cobalt,Size,XS,,,210000134578,,,0,0,0
time-alpe-dhuez-x,TIME Alpe D'Huez X (ADHX),Color,Amber,Size,XS,,,210000134588,,,0,1,0
time-alpe-dhuez-x,TIME Alpe D'Huez X (ADHX),Color,Carbon,Size,XS,,,210000134596,,,0,0,0
time-alpe-dhuez-x,TIME Alpe D'Huez X (ADHX),Color,Forest,Size,XS,,,210000134583,,,0,1,0
3t-exploro-racemax-frame,3T Exploro RaceMax Frameset,Color,Blue/Brown,Size,61,,,210000133550,,,0,0,0
open-mind-california-frame,Open MIND Made In California Frame,Color,RTP,Size,SM,,,210000133489,,,0,0,0
open-mind-california-frame,Open MIND Made In California Frame,Color,RTP,Size,XL,,,210000133490,,,0,0,0
open-mind-california-frame,Open MIND Made In California Frame,Color,RTP,Size,MD,,,210000133488,,,0,0,0
open-one-frameset,Open One + Frameset,Color,Black,Size,S,,,210000132804,,,0,0,0
open-mind-california-frame,Open MIND Made In California Frame,Color,RTP,Size,LG,,,210000132451,,,0,0,0
open-u-p-unbeaten-path-gravel-frameset,OPEN UP Frameset,Color,Orange,Size,XL,,,210000132332,,,0,0,1
open-u-p-unbeaten-path-gravel-frameset,OPEN UP Frameset,Color,Orange,Size,LG,,,210000132331,,,0,0,1
open-u-p-unbeaten-path-gravel-frameset,OPEN UP Frameset,Color,Orange,Size,SM,,,210000132329,,,0,0,0
open-u-p-unbeaten-path-gravel-frameset,OPEN UP Frameset,Color,Orange,Size,MD,,,210000132330,,,0,2,3
open-wide-frameset-ready-to-paint-xs-custom,OPEN WI.DE Frameset Custom Painted,Color,Ballerina Pink & White,Size,XS,,,210000126886,,,0,0,0
alpe-dhuez-01-disc-with-aktiv-fork,2022 TIME Alpe D'Huez 01 Disc with Aktiv Fork Frameset,Color,Raw - RTP,Size,L,,,210000131348,,,0,0,0
alpe-dhuez-01-disc-with-aktiv-fork,2022 TIME Alpe D'Huez 01 Disc with Aktiv Fork Frameset,Color,Raw - RTP,Size,M,,,210000131347,,,0,0,0
alpe-dhuez-01-disc-with-aktiv-fork,2022 TIME Alpe D'Huez 01 Disc with Aktiv Fork Frameset,Color,Raw - RTP,Size,S,,,210000131346,,,0,0,0
alpe-dhuez-01-disc-with-aktiv-fork,2022 TIME Alpe D'Huez 01 Disc with Aktiv Fork Frameset,Color,Raw - RTP,Size,XL,,,210000131349,,,0,0,0
alpe-dhuez-01-disc-with-aktiv-fork,2022 TIME Alpe D'Huez 01 Disc with Aktiv Fork Frameset,Color,Raw - RTP,Size,XS,,,210000131345,,,0,0,0
